Driver,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Average_Laptime(s),Qualifying_Time(s),Starting_Pos,Race_Result
STR,97.224,96.151,98.532,113.3595,95.995,21.0,18.0
STR,97.224,96.151,98.532,113.3595,95.995,21.0,18.0
VER,94.541,93.254,95.774,109.1845,93.002,8.0,16.0
VER,94.541,93.254,95.774,109.1845,93.002,8.0,16.0
ALB,93.697,91.496,91.733,106.666583333,91.088,17.0,20.0
ALB,93.697,91.496,91.733,106.666583333,91.088,17.0,20.0
ALB,93.697,91.496,91.733,106.666583333,91.088,17.0,20.0
ANT,91.692,90.225,89.362,103.388473684,88.778,1.0,1.0
ANT,91.692,90.225,89.362,103.388473684,88.778,1.0,1.0
ANT,91.692,90.225,89.362,103.388473684,88.778,1.0,1.0
BEA,92.9,91.498,91.558,102.40295238,91.09,18.0,22.0
BEA,92.9,91.498,91.558,102.40295238,91.09,18.0,22.0
BEA,92.9,91.498,91.558,102.40295238,91.09,18.0,22.0
BOR,92.759,91.933,91.0,119.58525,90.274,9.0,13.0
BOR,92.759,91.933,91.0,119.58525,90.274,9.0,13.0
BOR,92.759,91.933,91.0,119.58525,90.274,9.0,13.0
BOT,94.49,92.615,92.503,109.386375,92.33,20.0,19.0
BOT,94.49,92.615,92.503,109.386375,92.33,20.0,19.0
BOT,94.49,92.615,92.503,109.386375,92.33,20.0,19.0
COL,93.361,92.438,91.759,104.757090909,90.627,15.0,16.0
COL,93.361,92.438,91.759,104.757090909,90.627,15.0,16.0
COL,93.361,92.438,91.759,104.757090909,90.627,15.0,16.0
GAS,92.978,91.734,91.082,106.528666666,89.691,7.0,7.0
GAS,92.978,91.734,91.082,106.528666666,89.691,7.0,7.0
GAS,92.978,91.734,91.082,106.528666666,89.691,7.0,7.0
HAD,92.803,91.759,91.094,106.243956521,89.978,8.0,12.0
HAD,92.803,91.759,91.094,106.243956521,89.978,8.0,12.0
HAD,92.803,91.759,91.094,106.243956521,89.978,8.0,12.0
HAM,92.04,90.98,90.383,104.465,89.567,6.0,6.0
HAM,92.04,90.98,90.383,104.465,89.567,6.0,6.0
HAM,92.04,90.98,90.383,104.465,89.567,6.0,6.0
HUL,92.798,91.441,90.658,104.905045454,90.387,13.0,11.0
HUL,92.798,91.441,90.658,104.905045454,90.387,13.0,11.0
HUL,92.798,91.441,90.658,104.905045454,90.387,13.0,11.0
LAW,92.529,91.59,91.097,107.318541666,90.495,14.0,9.0
LAW,92.529,91.59,91.097,107.318541666,90.495,14.0,9.0
LAW,92.529,91.59,91.097,107.318541666,90.495,14.0,9.0
LEC,91.955,90.846,90.229,107.622043478,89.405,4.0,3.0
LEC,91.955,90.846,90.229,107.622043478,89.405,4.0,3.0
LEC,91.955,90.846,90.229,107.622043478,89.405,4.0,3.0
LIN,92.665,91.561,91.288,105.84055276823729,90.319,10.0,14.0
LIN,92.665,91.561,91.288,105.84055276823729,90.319,10.0,14.0
LIN,92.665,91.561,91.288,105.84055276823729,90.319,10.0,14.0
NOR,91.798,90.649,90.6,108.705583333,89.409,5.0,5.0
NOR,91.798,90.649,90.6,108.705583333,89.409,5.0,5.0
NOR,91.798,90.649,90.6,108.705583333,89.409,5.0,5.0
OCO,92.601,91.532,91.326,104.676208333,90.309,12.0,10.0
OCO,92.601,91.532,91.326,104.676208333,90.309,12.0,10.0
OCO,92.601,91.532,91.326,104.676208333,90.309,12.0,10.0
PER,94.221,93.689,92.54,106.5436,92.206,19.0,17.0
PER,94.221,93.689,92.54,106.5436,92.206,19.0,17.0
PER,94.221,93.689,92.54,106.5436,92.206,19.0,17.0
PIA,91.865,90.133,90.364,105.411958333,89.132,3.0,2.0
PIA,91.865,90.133,90.364,105.411958333,89.132,3.0,2.0
PIA,91.865,90.133,90.364,105.411958333,89.132,3.0,2.0
RUS,91.666,90.338,89.616,107.931045454,89.076,2.0,4.0
RUS,91.666,90.338,89.616,107.931045454,89.076,2.0,4.0
SAI,93.383,91.608,91.829,105.217166666,91.033,16.0,15.0
SAI,93.383,91.608,91.829,105.217166666,91.033,16.0,15.0
STR,95.294,93.951,93.485,114.29,92.92,22.0,21.0
STR,95.294,93.951,93.485,114.29,92.92,22.0,21.0
VER,92.457,91.509,90.91,103.802416666,90.262,11.0,8.0
VER,92.457,91.509,90.91,103.802416666,90.262,11.0,8.0
