Driver,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Longest_Stint,Qualifying_Time(s),Starting_Pos,Race_Result,Tyre_Compound_HARD,Tyre_Compound_MEDIUM,Tyre_Compound_SOFT
HAD,81.087,80.941,80.137,36.938357142,23.917321428,42.749958333,99.028217391,13.0,79.303,3.0,20.0,0.0,1.0,0.0
HAD,81.087,80.941,80.137,36.938357142,23.917321428,42.749958333,99.028217391,13.0,79.303,3.0,20.0,0.0,1.0,0.0
HAD,81.087,80.941,80.137,36.938357142,23.917321428,42.749958333,99.028217391,13.0,79.303,3.0,20.0,1.0,0.0,0.0
HAM,80.736,80.05,79.669,36.481677419,21.75396875,43.648655172,99.92,13.0,79.478,7.0,4.0,1.0,0.0,0.0
HAM,80.736,80.05,79.669,36.481677419,21.75396875,43.648655172,99.92,13.0,79.478,7.0,4.0,0.0,1.0,0.0
HAM,80.736,80.05,79.669,36.481677419,21.75396875,43.648655172,99.92,13.0,79.478,7.0,4.0,1.0,0.0,0.0
HUL,81.969,81.351,81.067,34.139484848,20.528764705,41.426838709,93.962482758,10.0,80.303,11.0,22.0,0.0,1.0,0.0
HUL,81.969,81.351,81.067,34.139484848,20.528764705,41.426838709,93.962482758,10.0,80.303,11.0,22.0,0.0,1.0,0.0
HUL,81.969,81.351,81.067,34.139484848,20.528764705,41.426838709,93.962482758,10.0,80.303,11.0,22.0,0.0,1.0,0.0
LAW,82.613,81.358,80.89,35.426965517,21.766172413,41.59772,97.6478,14.0,79.994,8.0,13.0,0.0,1.0,0.0
LAW,82.613,81.358,80.89,35.426965517,21.766172413,41.59772,97.6478,14.0,79.994,8.0,13.0,0.0,1.0,0.0
LAW,82.613,81.358,80.89,35.426965517,21.766172413,41.59772,97.6478,14.0,79.994,8.0,13.0,1.0,0.0,0.0
LEC,80.267,80.291,79.827,37.004633333,20.809666666,45.400444444,99.48636,10.0,79.327,4.0,3.0,1.0,0.0,0.0
LEC,80.267,80.291,79.827,37.004633333,20.809666666,45.400444444,99.48636,10.0,79.327,4.0,3.0,0.0,1.0,0.0
LEC,80.267,80.291,79.827,37.004633333,20.809666666,45.400444444,99.48636,10.0,79.327,4.0,3.0,0.0,1.0,0.0
LIN,81.313,80.922,80.838,39.199866666,20.971933333,43.092518518,101.070296296,15.0,81.247,9.0,8.0,0.0,0.0,1.0
LIN,81.313,80.922,80.838,39.199866666,20.971933333,43.092518518,101.070296296,15.0,81.247,9.0,8.0,0.0,1.0,0.0
LIN,81.313,80.922,80.838,39.199866666,20.971933333,43.092518518,101.070296296,15.0,81.247,9.0,8.0,0.0,1.0,0.0
NOR,84.391,80.794,80.443,33.216285714,20.360862068,42.638692307,92.236041666,16.0,79.475,6.0,5.0,0.0,0.0,1.0
