Driver,Constructor,AveragePositionFromLast3Races,AveragePointsFromLast3Races,ConstructorAveragePointFromLast3Races,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Qualifying_Time(s),Starting_Pos,Race_Result,DriverPoints,ConstructorPoints,FP1_Rank,FP2_Rank,FP3_Rank,FP1_DeltaToFastest,FP2_DeltaToFastest,FP3_DeltaToFastest,Sector1_Rank,Sector2_Rank,Sector3_Rank,CombinedSectorTime,CombinedSectorDelta,LapTime_Rank,DeltaToFastestLap,StartXConst,DriXConst,FP3XStart
LAW,Racing Bulls,11.0,0.0,0.0,82.613,81.358,80.89,35.426965517,21.766172413,41.59772,97.6478,79.994,8.0,13.0,0.0,0.0,12,13,11,2.3460000000000036,1.6290000000000049,1.8370000000000033,4,15,3,98.79085793,2.695769667999997,5,5.411758333999998,0.0,0.0,88.0
LEC,Ferrari,11.0,0.0,0.0,80.267,80.291,79.827,37.004633333,20.809666666,45.400444444,99.48636,79.327,4.0,3.0,0.0,0.0,1,5,3,0.0,0.5619999999999976,0.7740000000000009,10,9,15,103.214744443,7.119656180999996,8,7.250318333999999,0.0,0.0,12.0
LIN,Racing Bulls,11.0,0.0,0.0,81.313,80.922,80.838,39.199866666,20.971933333,43.092518518,101.070296296,81.247,9.0,8.0,0.0,0.0,4,7,10,1.0460000000000065,1.1929999999999978,1.7849999999999966,16,12,10,103.26431851699999,7.169230254999988,12,8.83425462999999,0.0,0.0,90.0
NOR,McLaren,11.0,0.0,0.0,84.391,80.794,80.443,33.216285714,20.360862068,42.638692307,92.236041666,79.475,6.0,5.0,0.0,0.0,18,6,7,4.124000000000009,1.0649999999999977,1.3900000000000006,1,4,7,96.215840089,0.12075182699999232,1,0.0,0.0,0.0,42.0
OCO,Haas F1 Team,11.0,0.0,0.0,82.161,81.179,80.983,39.771344827,20.526620689,45.612115384,102.046375,80.491,13.0,11.0,0.0,0.0,11,9,12,1.8940000000000055,1.4500000000000028,1.9300000000000068,18,5,16,105.9100809,9.814992637999993,16,9.810333333999992,0.0,0.0,156.0
PER,Cadillac,11.0,0.0,0.0,84.62,81.2525,84.397,40.0335,21.311,53.61,118.806,82.605,18.0,16.0,0.0,0.0,19,10,19,4.353000000000009,1.5234999999999985,5.344000000000008,19,13,19,114.9545,18.85941173799999,19,26.569958333999992,0.0,0.0,342.0
PIA,McLaren,11.0,0.0,0.0,81.342,79.729,80.087,36.638115384,20.288807692,43.384,96.971181818,79.38,5.0,21.0,0.0,0.0,5,1,4,1.0750000000000028,0.0,1.034000000000006,7,3,11,100.310923076,4.21583481399999,4,4.735140152,0.0,0.0,20.0
RUS,Mercedes,11.0,0.0,0.0,81.371,80.049,79.053,38.616071428,20.045714285,42.000041666,101.140833333,78.518,1.0,1.0,0.0,0.0,6,3,1,1.1039999999999992,0.3200000000000074,0.0,14,2,6,100.661827379,4.566739116999997,13,8.904791666999998,0.0,0.0,1.0
ALB,Williams,6.0,0.0,0.0,95.48,95.305,98.158,27.3006,31.527666666,49.645,108.9622,94.772,18.0,22.0,0.0,0.0,16,19,16,2.7390000000000043,3.785000000000011,3.405000000000001,2,2,20,108.473266666,0.4451119050000045,9,1.4495636369999971,0.0,0.0,288.0
ALO,Aston Martin,9.0,0.0,0.0,95.856,95.581,98.487,28.49,31.7466,48.075,107.56425,95.203,19.0,17.0,0.0,0.0,18,20,19,3.114999999999995,4.061000000000007,3.7339999999999947,13,3,6,108.3116,0.2834452390000024,2,0.051613637000002655,0.0,0.0,361.0
ANT,Mercedes,10.0,0.0,43.0,92.861,91.809,94.76,28.1164,32.86376923,47.599230769,107.6587,92.064,1.0,1.0,18.0,43.0,2,2,2,0.12000000000000455,0.2890000000000015,0.007000000000005002,8,15,4,108.579399999,0.551245238000007,3,0.14606363699999747,43.0,774.0,2.0
BEA,Haas F1 Team,6.5,0.0,6.0,94.426,93.409,97.374,29.538153846,31.8940625,48.543625,110.244461538,93.292,10.0,5.0,6.0,6.0,7,9,11,1.6850000000000023,1.88900000000001,2.620999999999995,19,5,10,109.97584134600001,1.9476865850000138,14,2.7318251749999973,60.0,36.0,110.0
BOR,Audi,5.5,0.0,2.0,94.828,93.774,97.8,28.943,32.736714285,48.478214285,110.35925,93.965,16.0,21.0,2.0,2.0,12,15,12,2.0870000000000033,2.254000000000005,3.046999999999997,15,11,9,110.15792857,2.1297738089999996,16,2.8466136370000044,32.0,4.0,192.0
BOT,Cadillac,9.5,0.0,0.0,96.057,97.378,99.262,28.484571428,33.10725,48.4285,109.943714285,95.436,20.0,13.0,0.0,0.0,19,22,22,3.3160000000000025,5.858000000000004,4.509,12,18,8,110.020321428,1.9921666670000064,13,2.431077922,0.0,0.0,440.0
COL,Alpine,7.0,0.0,1.0,94.947,94.327,97.278,30.2916,33.194916666,47.793,111.528,93.357,12.0,10.0,0.0,1.0,15,17,9,2.206000000000003,2.807000000000002,2.5250000000000057,22,19,5,111.279516666,3.25136190500001,19,4.015363637000007,12.0,0.0,108.0
GAS,Alpine,5.5,0.0,1.0,94.676,92.888,98.349,29.145416666,32.768933333,49.672133333,112.2755,92.873,7.0,6.0,1.0,1.0,10,7,17,1.9350000000000023,1.3680000000000092,3.5960000000000036,17,13,21,111.586483332,3.558328571000004,21,4.762863636999995,7.0,1.0,119.0
HAD,Red Bull Racing,10.0,0.0,8.0,94.856,93.62,96.912,30.018583333,31.808333333,47.518714285,107.512636363,93.121,9.0,8.0,0.0,8.0,13,10,8,2.114999999999995,2.1000000000000085,2.159000000000006,21,4,2,109.345630951,1.3174761900000078,1,0.0,72.0,0.0,72.0
HAM,Ferrari,8.0,0.0,27.0,94.129,92.161,94.926,28.891416666,33.737,49.1446,111.76725,92.415,3.0,3.0,12.0,27.0,6,4,3,1.3880000000000052,0.6410000000000053,0.17300000000000182,14,21,15,111.773016666,3.7448619050000076,20,4.254613637000006,81.0,324.0,9.0
HUL,Audi,11.0,0.0,2.0,94.639,93.635,98.027,28.202083333,33.229071428,46.597,107.721083333,93.354,11.0,11.0,0.0,2.0,9,11,15,1.8979999999999961,2.115000000000009,3.274000000000001,9,20,1,108.028154761,0.0,4,0.20844696999999712,22.0,0.0,165.0
LAW,Racing Bulls,6.5,0.0,4.0,94.773,93.714,97.882,27.259545454,32.162615384,48.857076923,108.13,93.765,14.0,7.0,0.0,4.0,11,14,13,2.0319999999999965,2.1940000000000026,3.129000000000005,1,8,12,108.27923776099999,0.25108299999999417,7,0.6173636369999969,56.0,0.0,182.0
LEC,Ferrari,9.0,0.0,27.0,93.599,92.528,94.753,28.035833333,31.963625,49.60225,108.046916666,92.428,4.0,4.0,15.0,27.0,5,6,1,0.8580000000000041,1.0080000000000098,0.0,7,7,18,109.601708333,1.5735535720000087,5,0.5342803030000027,108.0,405.0,4.0
LIN,Racing Bulls,6.0,0.0,4.0,97.896,94.048,98.475,27.856363636,31.910153846,48.277076923,108.096090909,93.784,15.0,12.0,4.0,4.0,21,16,18,5.155000000000001,2.528000000000006,3.721999999999994,4,6,7,108.043594405,0.015439643999997088,6,0.5834545459999987,60.0,16.0,270.0
NOR,McLaren,7.5,0.0,10.0,93.296,92.141,95.708,27.6935,31.314461538,49.21776923,108.8871,92.608,6.0,20.0,10.0,10.0,3,3,6,0.5550000000000068,0.6210000000000093,0.9549999999999983,3,1,16,108.225730768,0.1975760070000092,8,1.3744636370000052,60.0,100.0,36.0
OCO,Haas F1 Team,5.5,0.0,6.0,94.877,93.639,97.363,27.888,32.825307692,49.63476923,110.530090909,93.538,13.0,14.0,0.0,6.0,14,13,10,2.1359999999999957,2.1189999999999998,2.6099999999999994,5,14,19,110.348076922,2.319922161000008,17,3.017454545999996,78.0,0.0,130.0
PER,Cadillac,8.0,0.0,0.0,99.2,93.635,98.862,28.484571428,32.736714285,48.857076923,109.65591161919048,96.906,22.0,15.0,0.0,0.0,22,12,21,6.459000000000003,2.115000000000009,4.108999999999995,11,12,11,110.07836263600001,2.0502078750000123,12,2.1432752561904778,0.0,0.0,462.0
PIA,McLaren,10.5,0.0,10.0,93.472,92.224,95.635,28.3731,32.22676923,48.985538461,110.3587,92.55,5.0,19.0,0.0,10.0,4,5,5,0.7309999999999945,0.7040000000000077,0.882000000000005,10,9,14,109.585407691,1.5572529300000042,15,2.8460636370000003,50.0,0.0,25.0
RUS,Mercedes,13.0,0.0,43.0,92.741,91.52,95.101,27.9787,32.98776923,49.256538461,109.65,92.286,2.0,2.0,25.0,43.0,1,1,4,0.0,0.0,0.347999999999999,6,17,17,110.22300769099999,2.194852929999996,11,2.137363637000007,86.0,1075.0,8.0
SAI,Williams,7.5,0.0,0.0,95.679,94.761,97.913,29.112,32.322,48.965,110.9942,94.317,17.0,9.0,0.0,0.0,17,18,14,2.9380000000000024,3.2409999999999997,3.1599999999999966,16,10,13,110.399,2.3708452390000048,18,3.481563637000008,0.0,0.0,238.0
STR,Aston Martin,8.5,0.0,0.0,97.224,96.151,98.532,29.756166666,33.753428571,49.822142857,113.3595,95.995,21.0,18.0,0.0,0.0,20,21,20,4.483000000000004,4.631,3.7789999999999964,20,22,22,113.331738094,5.303583333000006,22,5.8468636369999984,0.0,0.0,420.0
VER,Red Bull Racing,7.0,0.0,8.0,94.541,93.254,95.774,29.153714285,32.952235294,47.594058823,109.1845,93.002,8.0,16.0,8.0,8.0,8,8,7,1.7999999999999972,1.7340000000000089,1.0210000000000008,18,16,3,109.700008402,1.6718536409999984,10,1.6718636370000013,64.0,64.0,56.0
ALB,Williams,11.333333333333334,5.666666666666667,1.0,93.697,91.496,91.733,42.531230769,48.057666666,21.567,106.666583333,91.088,17.0,20.0,0.0,2.0,19,8,16,2.031000000000006,1.3629999999999995,2.3710000000000093,5,19,7,112.15589743500001,3.039671972000008,13,4.263630953000003,34.0,0.0,272.0
ALO,Aston Martin,11.666666666666666,5.833333333333333,0.0,92.759,93.596,93.529,42.13455,46.7455,21.989958333,108.581263157,92.646,21.0,18.0,0.0,0.0,12,20,22,1.0930000000000035,3.463000000000008,4.167000000000002,2,11,12,110.870008333,1.7537828699999949,18,6.178310776999993,0.0,0.0,462.0
ANT,Mercedes,7.0,16.0,43.0,91.692,90.225,89.362,47.109173913,45.386107142,21.655821428,103.388473684,88.778,1.0,1.0,47.0,98.0,2,2,1,0.02599999999999625,0.09199999999999875,0.0,19,2,11,114.15110248299999,5.034877019999982,2,0.9855213040000024,98.0,4606.0,1.0
BEA,Haas F1 Team,6.0,8.0,8.0,92.9,91.498,91.558,43.9538,45.669714285,22.014214285,102.40295238,91.09,18.0,22.0,17.0,17.0,15,9,15,1.2340000000000089,1.365000000000009,2.196000000000012,13,6,15,111.63772857000001,2.521503107000001,1,0.0,306.0,289.0,270.0
BOR,Audi,10.666666666666666,5.333333333333333,1.0,92.759,91.933,91.0,53.260666666,48.081545454,24.916545454,119.58525,90.274,9.0,13.0,2.0,2.0,11,17,9,1.0930000000000035,1.8000000000000114,1.6380000000000052,22,20,21,126.258757574,17.142532110999994,22,17.18229762,18.0,4.0,81.0
BOT,Cadillac,10.666666666666666,5.333333333333333,0.0,94.49,92.615,92.503,43.9892,47.002678571,21.424035714,109.386375,92.33,20.0,19.0,0.0,0.0,21,19,19,2.823999999999998,2.4819999999999993,3.1410000000000053,14,15,3,112.415914285,3.299688821999993,20,6.983422619999999,0.0,0.0,380.0
COL,Alpine,8.0,4.5,5.0,93.361,92.438,91.759,43.00628,47.661535714,21.347107142,104.757090909,90.627,15.0,16.0,1.0,10.0,17,18,17,1.6950000000000074,2.305000000000007,2.3970000000000056,8,18,2,112.014922856,2.898697392999992,6,2.3541385289999965,150.0,10.0,255.0
GAS,Alpine,5.666666666666667,6.833333333333334,5.0,92.978,91.734,91.082,41.00856,46.617310344,21.627517241,106.528666666,89.691,7.0,7.0,9.0,10.0,16,15,10,1.3119999999999976,1.600999999999999,1.7199999999999989,1,10,9,109.25338758500001,0.13716212200000655,11,4.1257142860000044,70.0,90.0,70.0
HAD,Red Bull Racing,9.333333333333334,6.666666666666667,6.0,92.803,91.759,91.094,45.154038461,46.109931034,21.571241379,106.243956521,89.978,8.0,12.0,4.0,12.0,14,16,11,1.1370000000000005,1.6260000000000048,1.7319999999999993,16,9,8,112.835210874,3.7189854109999914,10,3.841004140999999,96.0,48.0,88.0
HAM,Ferrari,6.333333333333333,10.666666666666666,27.0,92.04,90.98,90.383,46.753333333,49.164185185,22.05,104.465,89.567,6.0,6.0,33.0,67.0,6,6,5,0.37400000000000944,0.8470000000000084,1.0210000000000008,18,21,16,117.967518518,8.851293055,4,2.0620476200000013,402.0,2211.0,30.0
HUL,Audi,11.0,5.5,1.0,92.798,91.441,90.658,42.662375,45.554074074,22.005074074,104.905045454,90.387,13.0,11.0,0.0,2.0,13,7,7,1.132000000000005,1.308000000000007,1.2960000000000065,7,3,14,110.22152314799999,1.1052976849999823,7,2.502093074000001,26.0,0.0,91.0
LAW,Racing Bulls,6.666666666666667,6.333333333333334,5.0,92.529,91.59,91.097,42.42,47.320533333,21.645833333,107.318541666,90.495,14.0,9.0,8.0,12.0,8,13,12,0.8629999999999995,1.4570000000000078,1.7349999999999994,3,16,10,111.386366666,2.2701412029999943,15,4.9155892859999994,168.0,96.0,168.0
LEC,Ferrari,7.333333333333333,9.666666666666666,27.0,91.955,90.846,90.229,43.15096,46.994535714,22.093107142,107.622043478,89.405,4.0,3.0,34.0,67.0,5,5,3,0.2890000000000015,0.7130000000000081,0.8670000000000044,9,14,18,112.238602856,3.1223773929999936,16,5.219091097999993,268.0,2278.0,12.0
LIN,Racing Bulls,8.0,4.0,5.0,92.665,91.532,91.288,43.427846153,69.262,38.967,107.06805814442859,90.319,10.0,14.0,4.0,12.0,10,11,13,0.9990000000000094,1.399000000000001,1.926000000000002,11,22,22,151.656846153,42.54062069,14,4.6651057644285885,120.0,48.0,130.0
NOR,McLaren,11.666666666666666,5.833333333333333,5.0,91.798,90.649,90.6,45.334285714,46.78217647,24.024941176,108.705583333,89.409,5.0,5.0,15.0,18.0,3,4,6,0.132000000000005,0.5160000000000053,1.2379999999999995,17,13,20,116.14140336,7.025177896999992,19,6.302630953000005,90.0,270.0,30.0
OCO,Haas F1 Team,8.333333333333334,4.166666666666667,8.0,92.601,91.532,91.326,43.40737037,46.763433333,21.440466666,104.676208333,90.309,12.0,10.0,0.0,17.0,9,12,14,0.9350000000000023,1.399000000000001,1.9639999999999986,10,12,4,111.61127036900001,2.495044906000004,5,2.273255953000003,204.0,0.0,168.0
PER,Cadillac,10.333333333333334,5.166666666666667,0.0,94.221,93.689,92.54,47.314416666,45.573785714,22.538428571,106.5436,92.206,19.0,17.0,0.0,0.0,20,21,20,2.555000000000007,3.5559999999999974,3.1780000000000115,20,4,19,115.42663095099999,6.3104054879999865,12,4.140647619999996,0.0,0.0,380.0
PIA,McLaren,13.333333333333334,6.666666666666667,5.0,91.865,90.133,90.364,42.56076923,45.652448275,21.447586206,105.411958333,89.132,3.0,2.0,3.0,18.0,4,1,4,0.19899999999999807,0.0,1.0020000000000095,6,5,5,109.66080371099999,0.5445782479999792,9,3.009005952999999,54.0,54.0,12.0
RUS,Mercedes,9.333333333333334,13.666666666666668,43.0,91.666,90.338,89.616,47.3938,45.788275862,22.059,107.931045454,89.076,2.0,4.0,51.0,98.0,1,3,2,0.0,0.2049999999999983,0.2540000000000049,21,7,17,115.241075862,6.124850398999996,17,5.528093073999997,196.0,4998.0,4.0
SAI,Williams,8.0,5.0,1.0,93.383,91.608,91.829,42.486538461,46.049066666,20.790466666,105.217166666,91.033,16.0,15.0,2.0,2.0,18,14,18,1.7169999999999987,1.4750000000000085,2.4669999999999987,4,8,1,109.326071793,0.20984632999999064,8,2.814214285999995,32.0,4.0,288.0
STR,Aston Martin,11.666666666666666,5.833333333333333,0.0,95.294,93.951,93.485,44.378,47.61847619,21.998,114.29,92.92,22.0,21.0,0.0,0.0,22,22,21,3.628,3.817999999999998,4.123000000000005,15,17,13,113.99447619000001,4.878250727000008,21,11.887047620000004,0.0,0.0,462.0
VER,Red Bull Racing,10.0,5.0,6.0,92.457,91.509,90.91,43.427846153,44.212275862,21.476103448,103.802416666,90.262,11.0,8.0,8.0,12.0,7,10,8,0.7909999999999968,1.3760000000000048,1.5480000000000018,12,1,6,109.116225463,0.0,3,1.399464285999997,132.0,96.0,88.0
ALB,Williams,14.0,7.0,1.0,91.024,90.216,93.473,40.9302,40.687333333,31.818666666,112.2585,89.946,15.0,10.0,0.0,2.0,12,15,13,1.7139999999999986,2.346999999999994,1.5879999999999939,22,18,10,113.436199999,5.647780807999993,19,20.186999999999998,30.0,0.0,195.0
ALO,Aston Martin,11.666666666666666,5.833333333333333,0.0,92.593,92.49,94.72,37.1052,39.793166666,34.718666666,111.4286,91.098,17.0,15.0,0.0,0.0,19,22,19,3.2830000000000013,4.620999999999995,2.8349999999999937,8,5,17,111.617033332,3.8286141410000027,16,19.357100000000003,0.0,0.0,323.0
ANT,Mercedes,9.0,17.0,40.0,90.079,88.091,91.932,39.8867,40.724857142,33.187923076,106.2955,87.798,1.0,1.0,72.0,135.0,5,2,2,0.7689999999999912,0.2219999999999942,0.046999999999997044,20,19,12,113.79948021799999,6.0110610269999825,3,14.224000000000004,135.0,9720.0,2.0
BEA,Haas F1 Team,12.333333333333334,6.166666666666667,5.5,91.091,90.116,94.524,40.357,39.887444444,31.671333333,110.144833333,89.567,12.0,11.0,17.0,18.0,13,14,18,1.7809999999999917,2.247,2.638999999999996,21,7,9,111.91577777700002,4.127358586000014,13,18.073333332999994,216.0,306.0,216.0
BOR,Audi,11.333333333333334,5.666666666666667,0.0,91.111,89.994,94.174,37.46,41.7265,33.908166666,111.922888888,93.737,21.0,12.0,2.0,2.0,14,11,15,1.801000000000002,2.125,2.2890000000000015,11,21,15,113.094666666,5.306247474999992,18,19.851388888000002,42.0,4.0,315.0
BOT,Cadillac,10.666666666666666,5.333333333333333,0.0,92.762,91.826,95.856,36.4515,40.314666666,36.7328,92.0715,91.629,19.0,18.0,0.0,0.0,20,21,22,3.451999999999998,3.9569999999999936,3.9709999999999894,4,13,19,113.498966666,5.7105474749999985,1,0.0,0.0,0.0,418.0
COL,Alpine,9.0,4.5,7.5,91.015,89.32,93.139,39.173833333,39.7624,31.3745,109.832,88.762,8.0,7.0,1.0,16.0,11,8,10,1.7049999999999983,1.4509999999999934,1.2539999999999907,16,4,7,110.31073333299999,2.522314141999985,12,17.760499999999993,128.0,16.0,80.0
GAS,Alpine,7.0,6.5,7.5,90.587,89.474,93.072,39.254416666,40.081666666,30.743785714,109.097636363,88.81,9.0,21.0,15.0,16.0,8,10,8,1.277000000000001,1.605000000000004,1.1869999999999976,17,10,3,110.07986904599998,2.291449854999982,11,17.026136363000006,144.0,240.0,72.0
HAD,Red Bull Racing,8.0,4.0,4.0,90.873,89.422,93.119,36.692083333,40.4124,31.293142857,106.426636363,88.789,22.0,22.0,4.0,16.0,9,9,9,1.5630000000000024,1.5529999999999973,1.2339999999999947,6,14,5,108.39762618999998,0.60920699899998,4,14.355136363,352.0,64.0,198.0
HAM,Ferrari,8.0,8.0,25.0,89.777,88.618,92.448,38.03175,39.2982,30.978428571,107.213272727,88.319,6.0,6.0,41.0,90.0,4,7,7,0.46699999999999875,0.7489999999999952,0.5629999999999882,14,2,4,108.30837857099999,0.5199593799999889,7,15.141772727000003,540.0,3690.0,42.0
HUL,Audi,7.333333333333333,3.6666666666666665,0.0,91.595,90.019,93.306,36.696111111,39.646,35.762416666,111.277666666,89.439,10.0,19.0,0.0,2.0,15,13,11,2.2849999999999966,2.1500000000000057,1.4209999999999923,7,3,18,112.10452777700002,4.316108586000013,15,19.206166666,20.0,0.0,110.0
LAW,Racing Bulls,7.333333333333333,4.666666666666666,4.0,91.648,91.043,94.204,35.239,41.8754,33.8514,108.776666666,89.499,11.0,20.0,10.0,14.0,17,18,16,2.337999999999994,3.1740000000000066,2.3189999999999884,1,22,14,110.96579999999999,3.1773808089999847,10,16.705166665999997,154.0,140.0,176.0
LEC,Ferrari,6.333333333333333,10.666666666666666,25.0,89.31,88.239,91.964,37.248333333,40.522133333,30.256285714,107.127,88.143,3.0,8.0,49.0,90.0,1,4,3,0.0,0.37000000000000455,0.07899999999999352,9,16,1,108.02675238,0.23833318900000222,6,15.055499999999995,270.0,4410.0,9.0
LIN,Racing Bulls,8.666666666666666,4.333333333333333,4.0,92.862,90.573,93.306,35.695833333,39.129333333,37.534111111,112.617,90.133,16.0,14.0,4.0,14.0,21,17,12,3.5519999999999925,2.7039999999999935,1.4209999999999923,2,1,20,112.359277777,4.570858586,20,20.545500000000004,224.0,56.0,192.0
NOR,McLaren,8.333333333333334,9.166666666666668,14.0,90.208,87.869,91.885,36.548166666,40.037466666,32.785571428,108.265727272,88.183,4.0,2.0,25.0,46.0,7,1,1,0.8979999999999961,0.0,0.0,5,9,11,109.37120476,1.582785568999995,8,16.194227272000006,184.0,1150.0,4.0
OCO,Haas F1 Team,8.0,4.5,5.5,91.635,91.245,94.409,37.6635,40.661666666,31.575,108.34225,89.772,14.0,13.0,1.0,18.0,16,19,17,2.325000000000003,3.3760000000000048,2.524000000000001,12,17,8,109.900166666,2.1117474750000014,9,16.270750000000007,252.0,18.0,238.0
PER,Cadillac,10.666666666666666,5.333333333333333,0.0,92.047,91.255,95.015,36.1885,40.089333333,42.648333333,122.4475,91.967,20.0,16.0,0.0,0.0,18,20,21,2.7369999999999948,3.3859999999999957,3.1299999999999955,3,11,21,118.92616666599999,11.137747474999983,21,30.376000000000005,0.0,0.0,420.0
PIA,McLaren,7.0,12.5,14.0,89.758,88.108,92.079,39.577888888,40.305272727,33.269777777,111.682428571,88.5,7.0,3.0,21.0,46.0,3,3,4,0.4479999999999933,0.23900000000000432,0.1939999999999884,19,12,13,113.15293939200001,5.364520201000005,17,19.610928571000002,322.0,966.0,28.0
RUS,Mercedes,8.0,10.0,40.0,90.1,88.493,92.387,39.324090909,40.503,34.202357142,106.589555555,88.197,5.0,4.0,63.0,135.0,6,6,6,0.789999999999992,0.6239999999999952,0.5019999999999953,18,15,16,114.02944805099999,6.241028859999986,5,14.518055555000004,675.0,8505.0,30.0
SAI,Williams,8.666666666666666,4.333333333333333,1.0,90.93,90.224,94.008,39.0587,41.538333333,31.354166666,111.1776,89.568,13.0,9.0,2.0,2.0,10,16,14,1.6200000000000045,2.355000000000004,2.1229999999999905,15,20,6,111.951199999,4.162780807999994,14,19.106099999999998,26.0,4.0,182.0
STR,Aston Martin,13.0,6.5,0.0,92.959,89.994,95.009,37.744,39.904,43.944666666,125.395,91.164,18.0,17.0,0.0,0.0,22,12,20,3.649000000000001,2.125,3.1239999999999952,13,8,22,121.592666666,13.804247474999997,22,33.323499999999996,0.0,0.0,360.0
VER,Red Bull Racing,8.0,6.0,4.0,89.607,88.461,92.201,37.386555555,39.8175,30.584363636,105.282,87.964,2.0,5.0,12.0,16.0,2,5,5,0.29699999999999704,0.5919999999999987,0.3159999999999883,10,6,2,107.788419191,0.0,2,13.210499999999996,32.0,192.0,10.0
ALB,Williams,10.0,5.5,1.5,76.642,74.5655,75.717,26.166588235,27.158883333,35.296811687499996,88.26565475105,74.851,18.0,21.0,1.0,5.0,15,11,11,3.239999999999995,1.6004999999999967,1.3370000000000033,11,11,12,88.6222832555,3.13868482849999,12,3.5216547510499936,90.0,5.0,198.0
ALO,Aston Martin,11.0,5.5,0.0,75.863,75.76,77.543,27.015428571,27.536666666,36.476,91.0715,75.196,19.0,20.0,0.0,0.0,10,18,22,2.4609999999999985,2.7950000000000017,3.163000000000011,20,19,18,91.028095237,5.544496809999998,21,6.327500000000001,0.0,0.0,418.0
